COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        IS_NULLABLE
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -----------
GuardianId                                                                                                                       int                                                                                                                              NO         
UserId                                                                                                                           nvarchar                                                                                                                         NO         
FirstName                                                                                                                        nvarchar                                                                                                                         NO         
LastName                                                                                                                         nvarchar                                                                                                                         NO         
ResidencyProofPath                                                                                                               nvarchar                                                                                                                         NO         
CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
GuardianFirstName                                                                                                                nvarchar                                                                                                                         YES        
GuardianLastName                                                                                                                 nvarchar                                                                                                                         YES        
ResidencyProof                                                                                                                   varbinary                                                                                                                        YES        
ConsentStatus                                                                                                                    nvarchar                                                                                                                         YES        
ProofType                                                                                                                        nvarchar                                                                                                                         YES        

(11 rows affected)
